SL No,Route No,Route Description,Distance (km),Base Fare (2.12/km),Toll (70% Load),Total Fare (BDT),Collectable Fare  (BDT)
73,230,"Khulna-Teknaf via Dhaka, Cumilla, Chattogram",738,1994.81,114.82,2109.63,2110
74,231,"Kushtia-Sirajganj via Lalon Shah Bridge, Hatikumrul",133,359.5,9.46,368.96,370
75,232,"Faridpur-Rangpur via Kushtia, Lalon Shah Bridge, Bogura",345,932.54,11.96,944.5,940
76,233,"Rangpur-Barishal via Lalon Shah Bridge, Faridpur",465,1256.9,19.1,1276.0,1275
77,234,"Bagerhat-Bauphal via Barishal, Bakerganj",124,335.17,32.32,367.49,365
78,235,"Khulna-Sirajganj via Jashore, Kushtia, Lalon Shah Bridge",314,848.74,7.67,856.41,855
79,236,"Thakurgaon-Madaripur via Bogura, Lalon Shah Bridge, Faridpur",503,1359.61,11.96,1371.57,1370
80,237,"Rajshahi-Teknaf via Jamuna Bridge, Dhaka, Chattogram",721,1948.86,57.32,2006.18,2005
81,238,"Dinajpur-Kushtia via Bogura, Lalon Shah Bridge",282,762.25,8.75,771.0,770
82,239,"Thakurgaon-Kushtia via Bogura, Lalon Shah Bridge",341,921.72,8.75,930.47,930
83,240,"Bagerhat-Barguna via Barishal, Patuakhali",157,424.37,49.46,473.83,470
84,241,"Naogaon-Jashore via Bogura, Lalon Shah Bridge, Jhenaidah",284,767.65,8.75,776.4,775
85,242,Bagerhat-Patuakhali via Barishal,123,332.47,38.75,371.22,370
86,243,"Pirojpur-Lohagara via Khulna, Jashore, Narail",158,427.07,28.03,455.1,455
87,244,"Gopalganj-Benapole via Khulna, Jashore",147,397.34,8.39,405.73,405
88,245,"Mymensingh-Chattogram via Bhairab, Cumilla",368,994.7,9.28,1003.98,1000
89,246,"Pabna-Jashore via Lalon Shah Bridge, Jhenaidah",150,405.45,7.67,413.12,410
90,247,"Pabna-Mongla via Lalon Shah Bridge, Jashore, Khulna",254,686.56,14.28,700.84,700
91,248,"Mymensingh-Rangpur via Jamuna Bridge, Bogura",284,767.65,35.71,803.36,800
92,249,"Meherpur-Faridpur via Jhinaihah, Magura",145,391.94,3.21,395.15,395
93,250,"Meherpur-Faridpur via Chuadanga, Magura",143,386.53,3.21,389.74,390
94,251,"Meherpur-Faridpur via Kushtia, Rajbari",153,413.56,3.21,416.77,415
95,252,"Meherpur-Pabna via Kushtia, Lalon Shah Bridge",106,286.52,7.67,294.19,295
96,253,"Meherpur-Rangpur via Lalon Shah Bridge, Bogura",298,805.49,8.75,814.24,815
97,254,"Pabna-Barishal via Lalon Shah Bridge, Faridpur",277,748.73,18.03,766.76,765
98,255,"Khulna-Panchagarh via Lalon Shah Bridge, Rangpur",541,1462.32,8.75,1471.07,1470
99,256,"Kushtia-Rangpur via Lalon Shah Bridge, Bogura",253,683.86,8.75,692.61,690
100,257,"Kushtia-Naogaon via Lalon Shah Bridge, Rajshahi",193,521.68,8.75,530.43,530
101,258,"Kushtia-Rajshahi via Lalon Shah Bridge, Natore",124,335.17,7.67,342.84,340
102,259,"Kushtia-Gaibandha via Lalon Shah Bridge, Bogura",215,581.15,8.75,589.9,590
103,260,"Khulna-Barguna via Barishal, Patuakhali",184,497.35,28.03,525.38,525
104,261,"Rajshahi-Bagerhat via Lalon Shah Bridge, Khulna",307,829.82,16.07,845.89,845
105,262,"Rajshahi-Rajbari via Lalon Shah Bridge, Kushtia",188,508.16,10.89,519.05,520
